,period,gross_oil_prod,gross_gas_prod,gross_ngl_prod,gross_water_prod,net_oil_prod,net_gas_prod,net_ngl_prod,realized_oil_price,realized_gas_price,realized_ngl_price,oil_revenue,gas_revenue,ngl_revenue,total_revenue,fixed_loe,variable_loe_oil,variable_loe_gas,variable_loe_water,total_variable_loe,gcp,prod_tax,ad_val_tax,total_expenses,d_and_c,undisc_cf,Cum PV-20.0%
71,72.0,0.1567267137633662,0.7501988006113222,0.050263319640958586,0.638605945168268,0.1316504395612276,0.4663235744599978,0.04222118849840521,78.2,2.0291,40.0,10.295064373687998,0.9462171649367815,1.6888475399362086,12.930129078560988,4.0,0.12538137101069297,0.0,0.9323646799456712,1.057746050956364,0.429017688503198,0.930969293656391,0.0,6.417733033115953,0.0,6.512396045445035,-630.6905529304819
72,73.0,0.1542820870833097,0.7392643053435095,0.04953070845801513,0.6296508137711884,0.12959695314998015,0.4595266922015255,0.04160579510473271,78.2,2.0291,40.0,10.134481736328448,0.9324256111461154,1.6642318041893085,12.731139151663871,4.0,0.12342566966664777,0.0,0.919290188105935,1.0427158577725828,0.4227645568254035,0.9166420189197987,0.0,6.382122433517785,0.0,6.349016718146086,-628.7909195480481
73,74.0,0.15190890683988548,0.7286363472041735,0.04881863526267962,0.6209434840723981,0.1276034817455038,0.4529203534221142,0.04100765362065088,78.2,2.0291,40.0,9.978592272498396,0.919020689128812,1.6403061448260354,12.537919106453245,4.0,0.12152712547190839,0.0,0.9065774867457012,1.0281046122176096,0.41668672514834504,0.9027301756646335,0.0,6.347521513030589,0.0,6.190397593422656,-626.9691087110635
74,75.0,0.14960413787575996,0.7183023183964561,0.04812625533256256,0.6124738092592297,0.12566747581563836,0.44649672111523714,0.04042605447935255,78.2,2.0291,40.0,9.82719660878292,0.9059864968149277,1.6170421791741019,12.350225284771948,4.0,0.11968331030060797,0.0,0.8942117615184753,1.0138950718190833,0.4107769834260182,0.8892162205035802,0.0,6.313888275748682,0.0,6.036337009023266,-625.2217598090176
75,76.0,0.14736491312083289,0.7082502903979823,0.04745276945666481,0.6042321890821394,0.12378652702149961,0.44024838051138576,0.039860326343598436,78.2,2.0291,40.0,9.68010641308127,0.8933079888956529,1.5944130537439374,12.167827455720861,4.0,0.11789193049666631,0.0,0.8821789960599234,1.0000709265565897,0.4050285100704749,0.876083576811902,0.0,6.281183013438967,0.0,5.886644442281894,-623.545677380017
76,77.0,0.14518852217312367,0.6984689689314846,0.046797420918409466,0.5962095335408865,0.12195835862542388,0.4341683110878108,0.03930983357146395,78.2,2.0291,40.0,9.537143644508149,0.8809709200282769,1.572393342858558,11.990507907394983,4.0,0.11615081773849895,0.0,0.8704659189696942,0.986616736708193,0.39943484620078595,0.8633165693324387,0.0,6.249368152241418,0.0,5.741139755153565,-621.9378215577095
77,78.0,0.1430724007950341,0.6889476524649166,0.046159492715149415,0.5883972294280745,0.12018081666782865,0.4282498607721921,0.03877397388072551,78.2,2.0291,40.0,9.3981398634242,0.8689617924928551,1.5509589552290204,11.818060611146077,4.0,0.11445792063602729,0.0,0.8590599549649888,0.9735178756010161,0.3939898719104168,0.8509003640025175,0.0,6.21840811151395,0.0,5.599652499632127,-620.3952991709565
78,79.0,0.14101412124070797,0.6796761939228216,0.04553830499282905,0.5807871094711399,0.1184518618421947,0.4224867221424259,0.0382521761939764,78.2,2.0291,40.0,9.262935596059625,0.8572678078991964,1.5300870477590562,11.65029045171788,4.0,0.11281129699256638,0.0,0.8479491798278642,0.9607604768204306,0.38868778437103185,0.8388209125236873,0.0,6.18826917371515,0.0,5.462021278002729,-618.9153554442738
79,80.0,0.13901138333894453,0.6706449653230743,0.04493321267664598,0.5733714238403431,0.1167695620047134,0.41687291044482294,0.03774389864838262,78.2,2.0291,40.0,9.13137974876859,0.8458768225835903,1.509755945935305,11.487012517287486,4.0,0.11120910667115563,0.0,0.8371222788069009,0.9483313854780566,0.38352307760923715,0.8270649012446989,0.0,6.158919364331993,0.0,5.328093152955493,-617.4953662517986
80,81.0,0.13706200626385814,0.6618448250818015,0.044343603280480696,0.566142813813784,0.11513208526164084,0.4114027432708478,0.03724862675560378,78.2,2.0291,40.0,9.003329067460314,0.8347773063708773,1.4899450702241512,11.328051444055342,4.0,0.10964960501108652,0.0,0.8265685081681245,0.9362181131792111,0.37849052380917997,0.8156197039719846,0.0,6.130328340960376,0.0,5.197723103094966,-616.132830881788
81,82.0,0.13516392093232865,0.6532670877548,0.043768894879571606,0.5590942874112925,0.11353769358315606,0.40607082174838366,0.036765871698840144,78.2,2.0291,40.0,8.878647638202803,0.8239583044096453,1.4706348679536059,11.173240810566055,4.0,0.10813113674586293,0.0,0.816277659620487,0.92440879636635,0.373585156008513,0.8044733383607559,0.0,6.102467290735619,0.0,5.070773519830436,-614.8253652724775
82,83.0,0.1333151629733765,0.6449034960064469,0.04320853423243194,0.552219196827575,0.11198473689763626,0.4008720131176074,0.03629516875524283,78.2,2.0291,40.0,8.757206425395156,0.8134094018169372,1.4518067502097132,11.022422577421805,4.0,0.10665213037870121,0.0,0.8062400273682595,0.9128921577469608,0.36880225206819883,0.7936144255743699,0.0,6.07530883538953,0.0,4.9471137420322755,-613.5706956835648
83,84.0,0.13151386622000383,0.6367461946173363,0.04266199503936153,0.5455112175114902,0.11047164762480322,0.3958014345741362,0.03583607583306368,78.2,2.0291,40.0,8.638882844259612,0.8031206908943798,1.4334430333225474,10.875446568476539,4.0,0.10521109297600306,0.0,0.7964463775667757,0.9016574705427788,0.3641373198082053,0.7830321529303107,0.0,6.048826943281295,0.0,4.826619625195244,-612.366652770684
84,85.0,0.12975825667886734,0.6287877063599114,0.042128776326114066,0.5389643287530476,0.10899693561024856,0.39085443827332095,0.035388172113935815,78.2,2.0291,40.0,8.523560364721439,0.7930827407003956,1.4155268845574325,10.732169989979266,4.0,0.10380660534309388,0.0,0.7868879199794494,0.8906945253225433,0.3595860832114553,0.7727162392785071,0.0,6.022996847812506,0.0,4.709173142166759,-611.2111660330305
85,86.0,0.1280466469374434,0.6210209095875036,0.04160840094236273,0.5325727956528571,0.10755918342745244,0.3860265973995922,0.034951056791584695,78.2,2.0291,40.0,8.411128144026781,0.7832865687835127,1.3980422716633878,10.592456984473682,4.0,0.10243731754995472,0.0,0.7775562816531714,0.879993599203126,0.35514446960762486,0.762656902882105,0.0,5.997794971692856,0.0,4.594662012780826,-610.1022586068275
86,87.0,0.12637743097218504,0.6134390173966243,0.041100414165573834,0.5263311523605254,0.10615704201663544,0.38131369321374164,0.03452434789908202,78.2,2.0291,40.0,8.301480685700891,0.7737236149000032,1.3809739159632808,10.456178216564176,4.0,0.10110194477774803,0.0,0.7684434824463671,0.8695454272241151,0.3508085977566423,0.7528448315926206,0.0,5.973198856573378,0.0,4.482979359990798,-609.0380423796062
87,88.0,0.12474907932460488,0.6060355582352943,0.04060438240176472,0.5202341864790082,0.1047892266326681,0.37671170299905893,0.034107681217482366,78.2,2.0291,40.0,8.194517522674646,0.7643857165553906,1.3643072486992947,10.32321048792933,4.0,0.09979926345968392,0.0,0.759541912259352,0.8593411757190359,0.34657476675913423,0.7432711551309117,0.0,5.949187097609082,0.0,4.374023390320248,-608.0167134023475
